Fish Name,Country,Location,Habitat,Water Type,Typical Depth,Abundance,Latitude,Longitude
Ablabys macracanthus,Indonesia,"Indonesia,LembehStrait,Jahir",Lagoon,marine,15-27m,scarce,1.4771666526795,125.23516666094
Abramis brama,Hungary,Balaton,Lake,freshwater,1-5m,fairly common (chances are about 50%),46.85,17.066666666667
Abramis brama,Sweden,"Munkedal,SouthofSweden,RiverValboan",River,freshwater,1-3m,common (usually seen),58.333333333333,11.933333333333
Abudefduf bengalensis,HongKong,"HoiHa,SaiKung,HongKong",Bay,marine,1-4m,,22.45,114.33333333333
Abudefduf bengalensis,Malaysia,"MonkeyBay,TiomanIsland",Reef,marine,0-5m,,2.85,104.15166667302
Abudefduf natalensis,SouthAfrica,"SodwanaBay,SouthAfrica",,marine,,,27.533333333333,32.666666666667
Abudefduf notatus,Thailand,"KohBon,Thailand",Sea,marine,8-10m,abundant (always seen in some numbers),9.6166666666667,97.066666666667
Abudefduf saxatilis,Mexico,"SistemaArrecifalVeracruzano,ArrecifeHornos",Reef,marine,1-6m,abundant (always seen in some numbers),19.176000006994,96.118333331744
Abudefduf saxatilis,USA,"KeyLargo,Florida,MolassesReef",Reef,marine,4-12m,abundant,25.009616667032,80.377099990845
Abudefduf sexfasciatus,Malaysia,"MonkeyBay,TiomanIsland",Reef,marine,0-5m,,2.85,104.15166667302
Abudefduf sexfasciatus,Malaysia,PulauBidong,,marine,,abundant (always seen in some numbers),5.6166666666667,103.05
Abudefduf troschelii,CostaRica,"ParqueNacionalMarinoLasBaulas,offPlayaCarbon",,marine,2-5m,abundant (always seen in some numbers),10.45,85.866666666667
Abudefduf troschelii,Peru,Mancora,Reef,marine,3-m,common (usually seen),4.2,72.2
Abudefduf vaigiensis,Indonesia,"BatuNunggul,PenidaIsland,nearBali",Reef,marine,0-18m,,8.671666653951,115.5683333079
Abudefduf vaigiensis,Indonesia,"SDpoint,PenidaIsland,nearBali",Reef,marine,0-17m,,8.668333307902,115.49166666667
Abudefduf vaigiensis,Malaysia,"MonkeyBay,TiomanIsland",,marine,0-5m,,2.85,104.15166667302
Abudefduf vaigiensis,Malaysia,PulauBidong,Reef,marine,3-7m,abundant (always seen in some numbers),5.6166666666667,103.05
Acanthemblemaria maria,PuertoRico,"Culebra,PuertoRico",Reef,marine,10-15m,occasional,17.954000473022,19.895000457764
Acanthochromis polyacanthus,Indonesia,"LembehStrait,Kunkungan",Lagoon,marine,10-16m,occasional (usually not seen),1.4645499865214,125.22946666082
Acanthocybium solandri,CapeVerde,"Kaapverdischeeilanden,Fogo",Sea,marine,-50m,abundant (always seen in some numbers),14.916666666667,23.516666666667
Acanthocybium solandri,Mayotte,Mayotte,Island,marine,,,12.833333333333,45.333333333333
Acanthostracion polygonius,USA,"KeyLargo,Florida,MinnowCaves",Reef,marine,4-12m,occasional,25.009616667032,80.377099990845
Acanthostracion quadricornis,USA,"KeyLargo,Florida,MinnowCaves",Reef,marine,4-12m,scarce,7.9200000762939,17.709999084473
Acanthurus chirurgus,USA,"KeyLargo,Florida,DryRocks",Reef,marine,4-12m,scarce,25.124166663488,80.299166679382
Acanthurus coeruleus,FrenchGuiana,DEVILISLAND,Island,marine,2-10m,common (usually seen),5.2833333333333,52.583333333333
Acanthurus coeruleus,USA,"KeyLargo,Florida,MolassesReef",Reef,marine,4-12m,fairly common,25.009616667032,80.377099990845
Acanthurus leucocheilus,Indonesia,"SDpoint,PenidaIsland,nearBali",Reef,marine,0-17m,,8.668333307902,115.49166666667
Acanthurus leucosternon,Indonesia,"CrystalBay,PenidaIsland,nearBali",Reef,marine,0-22m,,8.7083333333333,115.45333334605
Acanthurus lineatus,Indonesia,"BatuNunggul,PenidaIsland,nearBali",Reef,marine,0-19m,,8.671666653951,115.5683333079
Acanthurus monroviae,Spain,Marbella(Malaga;Spain),Sea,marine,-20m,scarce (very unlikely),36.470000012716,4.9483333587646
Acanthurus nigricans,CostaRica,"ParqueNacionalMarinoLasBaulas,offPlayaCarbon",,marine,3-5m,fairly common (chances are about 50%),10.45,85.866666666667
Acanthurus nigricans,Indonesia,"CrystalBay,PenidaIsland,nearBali",Reef,marine,0-22m,,8.7083333333333,115.45333334605
Acanthurus pyroferus,Indonesia,"Amedwall,Bali",Reef,marine,0-14m,,8.3333333333333,115.65333334605
Acanthurus pyroferus,Indonesia,"BatuNunggul,PenidaIsland,nearBali",Reef,marine,0-18m,,8.671666653951,115.5683333079
Acanthurus pyroferus,Indonesia,"Indonesia,LembehStrait,several",Lagoon,marine,15-27m,fairly common,1.5088166554769,125.2685500145
Acanthurus pyroferus,PapuaNewGuinea,"Quayle'sReef,BootlessBay",Reef,marine,0-23m,,9.575,147.3
Acanthurus thompsoni,Indonesia,"Indonesia,LembehStrait,Jikoyance",Lagoon,marine,15-27m,scarce,1.5276166598002,125.27795000076
Acanthurus tractus,USA,"KeyLargo,Florida,MolassesReef",Reef,marine,4-12m,common,0.57700002193451,22.625999450684
Acanthurus xanthopterus,Philippines,"Catmon,SanJuan,Batangas",,marine,,,13.783333333333,121.46666666667
Acrossocheilus beijiangensis,China,"ShuiDiHe,Huizhou,GuangdongProvince",River,freshwater,0-2m,common (usually seen),23.1,114.4
Aeoliscus strigatus,Malaysia,"MonkeyBay,TiomanIsland",Reef,marine,0-5m,,2.85,104.15166667302
Aetobatus narinari,CaymanIs.,"NorthWall,GrandCayman",Island,marine,60-28m,fairly common (chances are about 50%),19.416666666667,81.333333333333
Aetobatus narinari,CostaRica,"ParqueNacionalMarinoLasBaulas,OffPlayaCarbon",,marine,2-3m,,10.45,85.866666666667
Aetobatus narinari,Egypt,"RedSea,Hurghada,AbuRamadasouthpoint",Sea,marine,15-20m,occasional (usually not seen),27.15,33.966666666667
Aetobatus narinari,SaudiArabia,"Privatebeachfrontresidence,justoutsideofmarina.",Reef,marine,10-15m,,21.733333333333,39.05
